epoch,loss,lr,val_loss
0,0.009265830740332603,0.001,0.0242772214114666
1,0.012975451536476612,0.001,0.016179854050278664
2,0.011663414537906647,0.001,0.008752193301916122
3,0.011533423326909542,0.001,0.004841112997382879
4,0.009610856883227825,0.001,0.002302342327311635
5,0.010207999497652054,0.001,0.004097402095794678
6,0.01111619733273983,0.001,0.002434882801026106
7,0.009758357889950275,0.001,0.0014908018056303263
8,0.01222468726336956,0.001,0.0060899206437170506
9,0.010349087417125702,0.001,0.0032726950012147427
10,0.010371451266109943,0.001,0.00163745298050344
11,0.010695039294660091,0.001,0.010565735399723053
12,0.009039921686053276,0.001,0.0016838927986100316
13,0.010048401542007923,0.000100000005,0.002225075149908662
14,0.010250423103570938,0.000100000005,0.0023586119059473276
15,0.007911902852356434,0.000100000005,0.0018907685298472643
16,0.0076860589906573296,0.000100000005,0.0017297816229984164
17,0.0090055912733078,0.000100000005,0.0025180564261972904
